NIT de la Entidad;Nombre de la Entidad
EJERCITO NACIONAL;EJERCITO NACIONAL
ECOPETROL - EMPRESA COLOMBIANA DE PETROLEOS;ECOPETROL - EMPRESA COLOMBIANA DE PETROLEOS
DIVISION DE SANIDAD DE LA POLICIçA NACIONAL;DIVISION DE SANIDAD DE LA POLICIçA NACIONAL
RAMA JUDICIAL;RAMA JUDICIAL
BANCO DE LA REPUBLICA;BANCO DE LA REPUBLICA
FONDO DE BIENESTAR SOCIAL DE LA CONTRALORIçA GENERAL DE LA REPUBLICA;FONDO DE BIENESTAR SOCIAL DE LA CONTRALORIçA GENERAL DE LA REPUBLICA
CORNARE - CORPORACION AUTONOMA REGIONAL DE LAS CUENCAS DE RIçOS NEGRO Y NARE;CORNARE - CORPORACION AUTONOMA REGIONAL DE LAS CUENCAS DE RIçOS NEGRO Y NARE
CORPOAMAZONIçA - CORPORACION PARA EL DESARROLLO SOSTENIBLE SUR DE LA AMAZONIçA;CORPOAMAZONIçA - CORPORACION PARA EL DESARROLLO SOSTENIBLE SUR DE LA AMAZONIçA
CODECHOCO - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL CHOCO;CODECHOCO - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL CHOCO
CORPOURABA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL URABA;CORPOURABA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL URABA
CRC - COMISION DE REGULACION DE COMUNICACIONES;CRC - COMISION DE REGULACION DE COMUNICACIONES
CAS - CORPORACION AUTONOMA REGIONAL DE SANTANDER;CAS - CORPORACION AUTONOMA REGIONAL DE SANTANDER
ARTESANIçAS DE COLOMBIA;ARTESANIçAS DE COLOMBIA
CDA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE DE LA AMAZONIçA;CDA - CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE DE LA AMAZONIçA
FIDUCIARIA LA PREVISORA;FIDUCIARIA LA PREVISORA
CVS - CORPORACION AUTONOMA REGIONAL DE LOS VALLES DEL SINU Y DEL SAN JORGE;CVS - CORPORACION AUTONOMA REGIONAL DE LOS VALLES DEL SINU Y DEL SAN JORGE
INSTITUTO DE ESTUDIOS DEL MINISTERIO PUBLICO;INSTITUTO DE ESTUDIOS DEL MINISTERIO PUBLICO
DIRECCION DE SANIDAD DE LA FUERZA AEREA COLOMBIANA;DIRECCION DE SANIDAD DE LA FUERZA AEREA COLOMBIANA
FINAGRO - FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO;FINAGRO - FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO
FIDUAGRARIA - SOCIEDAD FIDUCIARIA DE DESARROLLO AGROPECUARIO;FIDUAGRARIA - SOCIEDAD FIDUCIARIA DE DESARROLLO AGROPECUARIO
901.033.784-6;CORDOBA - ASOCIACION DE MUNICIPIOS DE LA COSTA ASOMUCOSTA - MONTERIçA
900948953-8;AGENCIA NACIONAL DE TIERRAS
900852998-5;AGENCIA NACIONAL DE SEGURIDAD VIAL
900749358-1;BOGOTA - INSTITUCION UNIVERSITARIA CONOCIMIENTO E INNOVACION PARA LA JUSTICIA (CIJ)
900657800-0;UNIDAD ADMINISTRATIVA ESPECIAL  UNIDAD DE PROYECCION NORMATIVA Y ESTUDIOS DE REGULACION FINANCIERA
900649119-9;PATRIMONIO AUTONOMO FONDO NACIONAL DE TURISMO
900576075-9;CORPORACION DE ALTA TECNOLOGIçA PARA LA DEFENSA - CODALTEC
900574083-9;INSTITUTO DE EVALUACION TECNOLOGICA EN SALUD IETS
900505060-5;COLJUEGOS - EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO ADMINISTRADORA DEL MONOPOLIO RENTIçSTICO DE LOS JUEGOS DE SUERTE Y AZAR
900490473-6;UNIDAD PARA LA ATENCION Y REPARACION INTEGRAL A LAS VICTIMAS
900483991-0;AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS
900479658-7;UNIDAD DE PLANIFICACION DE TIERRAS RURALES ADECUACION DE TIERRAS Y USOS AGROPECUARIOS - UPRA
900292686-9;SUCRE - EMPRESA DE SERVICIOS PUBLICOS LOS PALMITOS EMPAL S.A. E.S.P.
900246990¬ø8;ANTIOQUIA - MUNICIPIOS ASOCIADOS DEL NORDESTE Y MAGDALENA MEDIO AMUNORMA - MEDELLIçN
900193776-5;NARIIëO - E.S.E. CENTRO DE SALUD SAN JOSE DE LEIVA - LEIVA
900112515-7;BOLIçVAR - REFINERIçA DE CARTAGENA S.A
900017129-0;CUNDINAMARCA - INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL AGUA BLANCA - LA PEIëA
900015752-0;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL EL ALTICO - COGUA
900003409-7;CNSC - COMISION NACIONAL DEL SERVICIO CIVIL
900002620-0;CUNDINAMARCA - INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL LA ESPERANZA - VERGARA
900002583-6;RTVC - RADIO TELEVISION NACIONAL DE COLOMBIA
899999737-9;FONDO ROTATORIO DE LA REGISTRADURIçA NACIONAL DEL ESTADO CIVIL
899999734-7;FONPRECON - FONDO DE PREVISION SOCIAL DEL CONGRESO DE LA REPUBLICA
899999486-5;SERVICIOS POSTALES NACIONALES
899999416-1;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL SAN JUAN DE RIOSECO
899999284-4;FONDO NACIONAL DE AHORRO
899999278-1;CIAC - CORPORACION DE LA INDUSTRIA AERONIÅUTICA COLOMBIANA
899999143-4;SATENA - SERVICIO AEREO A TERRITORIOS NACIONALES
899999102-2;FUERZA AEREA COLOMBIANA
899999098-0;CIÅMARA DE REPRESENTANTES
899999092-7;INSTITUTO NACIONAL DE CANCEROLOGIçA
899999083-0;FONDO DE INVERSION PARA LA PAZ
899999044-3;INDUMIL - INDUSTRIA MILITAR
899999022-0;CREG - COMISION DE REGULACION DE ENERGIçA Y GAS
892301483-2;CORPOCESAR - CORPORACION AUTONOMA REGIONAL DEL CESAR
892200323-9;SUCRE - UNIVERSIDAD DE SUCRE
892115314-9;CORPOGUAJIRA - CORPORACION AUTONOMA REGIONAL DE LA GUAJIRA
891902186-5;VALLE DEL CAUCA - CIÅMARA DE COMERCIO DE SEVILLA
891701932-0;MAGDALENA - INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL  HUMBERTO VELIÅSQUEZ GARCIçA  - INFOTEP - CIENAGA
891501885-4;CRC - CORPORACION AUTONOMA REGIONAL DEL CAUCA
891410354-4;CARDER - CORPORACION AUTONOMA REGIONAL DE RISARALDA
891222322-2;CORPONARIIëO - CORPORACION AUTONOMA REGIONAL DE NARIIëO
891080031-3;CORDOBA - UNIVERSIDAD DE CORDOBA - MONTERIçA
890981415-0;ANTIOQUIA - INSTITUCION EDUCATIVA MANUEL JOSE CAYZEDO - MEDELLIçN
890981115-6;ANTIOQUIA - PERSONERIçA MUNICIPIO DE MONTEBELLO
890805037-7;CALDAS - I.E. INSTITUTO TECNICO MARCO FIDEL SUAREZ - MANIZALES
890700640-7;TOLIMA - UNIVERSIDAD DEL TOLIMA
890399002-7;CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
890102257-3;ATLIÅNTICO - UNIVERSIDAD DEL ATLIÅNTICO
890000447-8;CRQ - CORPORACION AUTONOMA REGIONAL DEL QUINDIçO
890000432-8;QUINDIçO - UNIVERSIDAD DEL QUINDIçO
860532782-4;CONSEJO PROFESIONAL DE INGENIERIçA DE PETROLEOS - CPIP
860531315-3;BOGOTIÅ D.C. - ALIANZA FIDUCIARIA S.A.
860509022-9;FINANCIERA DE DESARROLLO NACIONAL S.A.
860503600-9;SUPERINTENDENCIA DEL SUBSIDIO FAMILIAR
860402272-2;FNG - FONDO NACIONAL DE GARANTIçAS
860042945-5;CISA - CENTRAL DE INVERSIONES S.A.
860011153-6;POSITIVA COMPAIëIA DE SEGUROS S.A
860002400-2;LA PREVISORA COMPAIëIçA DE SEGUROS
837000110-9;NARIIëO - INSTITUCION EDUCATIVA GENARO LEON - GUACHUCAL
832010017-6;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL SAN BENITO - SIBATE
832004802-7;CUNDINAMARCA - IED. ESCUELA NORMAL SUPERIOR SANTA TERESITA DE QUETAME
832002728-0;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL NUESTRA SEIëORA DE FIÅTIMA - SASAIMA
832002568-9;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL LA PLAZUELA - COGUA
832000283-6;CORPORINOQUIçA - CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIçA
832000171-1;CORPORACION AUTONOMA REGIONAL DEL GUAVIO
830079479-5;COMPUTADORES PARA EDUCAR
830059954-7;CONSEJO PROFESIONAL NACIONAL DE ARQUITECTURA Y SUS PROFESIONES AUXILIARES
830053994-4;BOGOTIÅ D.C. - PATRIMONIOS AUTONOMOS FIDUCIARIA COLPATRIA S.A.
830053812-2;ALIANZA FIDUCIARIA S. A. - PATRIMONIO AUTONOMO DEL FONDO DE INFRAESTRUCTURA EDUCATIVA FFIE
830053319-2;FOGACOOP - FONDO DE GARANTIçAS DE ENTIDADES COOPERATIVAS
830039670-5;DIRECCION GENERAL DE SANIDAD MILITAR
830027904-1;DIRECCION GENERAL MARIçTIMA
